rank	score	topic	industry	production	impact	reels_fit	title	year	citations	venue	companies	link
1	0.698	core	1.00	0.25	0.65	0.20	Contrastive Cross-domain Recommendation in Matching	2022	98	KDD	Tencent (China)	https://doi.org/10.1145/3534678.3539125
2	0.660	adjacent	0.75	1.00	0.18	0.40	Lion: A GPU-Accelerated Online Serving System for Web-Scale Recommendation at Baidu	2022	5	KDD	Baidu (China)	https://doi.org/10.1145/3534678.3539058
3	0.646	core	1.00	0.25	0.55	0.20	Hierarchical Reinforcement Learning for Integrated Recommendation	2021	78	AAAI	Tencent (China)	https://doi.org/10.1609/aaai.v35i5.16580
4	0.600	core	0.75	0.25	0.67	0.00	Learning to Denoise Unreliable Interactions for Graph Collaborative Filtering	2022	106	SIGIR	Alibaba Group (China); Alibaba Group (United States)	https://doi.org/10.1145/3477495.3531889
5	0.596	core	1.00	0.00	0.66	0.00	CIRS: Bursting Filter Bubbles by Counterfactual Interactive Recommender System	2023	85	ACM TOIS	Kuaishou (China)	https://doi.org/10.1145/3594871
6	0.583	adjacent	0.75	0.25	0.90	0.20	Hybrid Transformer with Multi-level Fusion for Multimodal Knowledge Graph Completion	2022	211	SIGIR	Alibaba Group (China)	https://doi.org/10.1145/3477495.3531992
7	0.582	core	1.00	0.25	0.00	0.40	CroPS: Improving Dense Retrieval with Cross-Perspective Positive Samples in Short-Video Search	2026	0	AAAI	Kuaishou (China)	https://doi.org/10.1609/aaai.v40i40.40700
8	0.574	core	1.00	0.00	0.41	0.20	Cross-Task Knowledge Distillation in Multi-Task Recommendation	2022	35	AAAI	Tencent (China)	https://doi.org/10.1609/aaai.v36i4.20352
9	0.572	core	0.75	0.25	0.35	0.20	Is News Recommendation a Sequential Recommendation Task?	2022	23	SIGIR	Microsoft Research Asia (China)	https://doi.org/10.1145/3477495.3531862
10	0.569	core	1.00	0.00	0.38	0.20	LLMEmb: Large Language Model Can Be a Good Embedding Generator for Sequential Recommendation	2025	17	AAAI	Tencent (China)	https://doi.org/10.1609/aaai.v39i11.33327
11	0.562	adjacent	1.00	0.00	0.60	0.20	Deconfounding Duration Bias in Watch-time Prediction for Video Recommendation	2022	82	KDD	Kuaishou (China)	https://doi.org/10.1145/3534678.3539092
12	0.562	core	0.75	0.25	0.36	0.20	TiCoSeRec: Augmenting Data to Uniform Sequences by Time Intervals for Effective Recommendation	2023	23	IEEE TKDE	Alibaba Group (China)	https://doi.org/10.1109/tkde.2023.3324312
13	0.561	core	1.00	0.00	0.45	0.00	Triple Sequence Learning for Cross-domain Recommendation	2023	37	ACM TOIS	Tencent (China)	https://doi.org/10.1145/3638351
14	0.557	core	1.00	0.00	0.12	0.40	Tricolore: Multi-Behavior User Profiling for Enhanced Candidate Generation in Recommender Systems	2025	2	IEEE TKDE	Tencent (China)	https://doi.org/10.1109/tkde.2025.3558503
15	0.554	adjacent	0.75	0.50	0.45	0.00	TwHIN: Embedding the Twitter Heterogeneous Information Network for Personalized Recommendation	2022	42	KDD	Twitter (United States)	https://doi.org/10.1145/3534678.3539080
16	0.544	adjacent	0.75	0.75	0.07	0.00	Efficient and Deployable Knowledge Infusion for Open-World Recommendations via Large Language Models	2025	1	ACM RecSys	Huawei Technologies (China); Huawei Technologies (Sweden); Huawei Technologies (United States); Huawei Technologies (United Kingdom)	https://doi.org/10.1145/3725894
17	0.543	core	1.00	0.00	0.11	0.20	eCom'22: The SIGIR 2022 Workshop on eCommerce	2022	2	SIGIR	Adobe Systems (United States); Lowe's (United States); Amazon (United States)	https://doi.org/10.1145/3477495.3531701
18	0.541	core	0.75	0.00	0.43	0.20	Choosing the Best of Both Worlds	2022	39	WSDM	Google (United Kingdom); Telefonica Research and Development	https://doi.org/10.1145/3488560.3498471
19	0.541	core	0.75	0.00	0.69	0.00	KR-GCN: Knowledge-Aware Reasoning with Graph Convolution Network for Explainable Recommendation	2022	112	ACM TOIS	Alibaba Group (China)	https://doi.org/10.1145/3511019
20	0.540	core	0.75	0.25	0.22	0.00	KoMen: Domain Knowledge Guided Interaction Recommendation for Emerging Scenarios	2022	8	TheWebConf / WWW	Alibaba Group (China); Alibaba Group (United States)	https://doi.org/10.1145/3485447.3512177
21	0.536	adjacent	1.00	0.25	0.27	0.00	Mixture of Virtual-Kernel Experts for Multi-Objective User Profile Modeling	2022	12	KDD	Tencent (China)	https://doi.org/10.1145/3534678.3539062
22	0.529	core	0.75	0.00	0.36	0.40	When to Show a Suggestion? Integrating Human Feedback in AI-Assisted Programming	2024	19	AAAI	Microsoft Research (United Kingdom)	https://doi.org/10.1609/aaai.v38i9.28878
23	0.527	adjacent	1.00	0.00	0.56	0.20	On the Effectiveness of Sampled Softmax Loss for Item Recommendation	2023	61	ACM TOIS	Tencent (China)	https://doi.org/10.1145/3637061
24	0.523	core	0.75	0.00	0.43	0.20	How Am I Doing?: Evaluating Conversational Search Systems Offline	2021	43	ACM TOIS	Photon Spot (United States); Amazon (United Kingdom)	https://doi.org/10.1145/3451160
25	0.523	core	0.75	0.00	0.43	0.20	Multi-interest Diversification for End-to-end Sequential Recommendation	2021	42	ACM TOIS	Alibaba Group (China); Ahold Delhaize (Netherlands)	https://doi.org/10.1145/3475768
26	0.522	adjacent	0.75	0.00	0.38	0.80	RankFlow	2022	29	SIGIR	Huawei Technologies (China)	https://doi.org/10.1145/3477495.3532050
27	0.522	adjacent	1.00	0.00	0.57	0.20	Plug-In Diffusion Model for Sequential Recommendation	2024	50	AAAI	Tencent (China)	https://doi.org/10.1609/aaai.v38i8.28736
28	0.521	adjacent	0.75	0.25	0.48	0.20	MAVE	2022	49	WSDM	Google (United States)	https://doi.org/10.1145/3488560.3498377
29	0.521	core	0.75	0.00	0.23	0.20	Multi-Interest Multi-Round Conversational Recommendation System with Fuzzy Feedback Based User Simulator	2023	8	ACM RecSys	Jingdong (China)	https://doi.org/10.1145/3616379
30	0.516	core	0.75	0.25	0.26	0.00	D3: A Methodological Exploration of Domain Division, Modeling, and Balance in Multi-Domain Recommendations	2024	10	AAAI	Huawei Technologies (Sweden)	https://doi.org/10.1609/aaai.v38i8.28699
31	0.515	adjacent	0.75	0.25	0.63	0.00	Multi-Behavior Sequential Transformer Recommender	2022	91	SIGIR	Huawei Technologies (China)	https://doi.org/10.1145/3477495.3532023
32	0.514	adjacent	0.75	0.00	0.90	0.00	Contrastive Meta Learning with Behavior Multiplicity for Recommendation	2022	199	WSDM	Baidu (China)	https://doi.org/10.1145/3488560.3498527
33	0.514	adjacent	1.00	0.00	0.44	0.00	Formalizing Multimedia Recommendation through Multimodal Deep Learning	2024	30	ACM RecSys	Amazon (Germany)	https://doi.org/10.1145/3662738
34	0.510	core	0.75	0.25	0.00	0.00	Introduction to the Special Issue on Large Language Models for Recommender Systems	2025	0	ACM RecSys	Amazon (United States)	https://doi.org/10.1145/3721299
35	0.505	core	0.75	0.00	0.32	0.20	Result Diversification in Search and Recommendation: A Survey	2024	15	IEEE TKDE	Microsoft (Canada); Microsoft Research Montréal (Canada)	https://doi.org/10.1109/tkde.2024.3382262
36	0.502	core	0.75	0.00	0.34	0.20	A Hybrid Bandit Framework for Diversified Recommendation	2021	23	AAAI	Alibaba Group (United States)	https://doi.org/10.1609/aaai.v35i5.16524
37	0.499	adjacent	1.00	0.00	0.54	0.00	A Multi-Objective Optimization Framework for Multi-Stakeholder Fairness-Aware Recommendation	2022	66	ACM TOIS	Microsoft (Canada); Microsoft Research Montréal (Canada); Google (Canada)	https://doi.org/10.1145/3564285
