link	venue	year	citations	description	institutions	companies	title	authors	num_authors	doi	openalex_id	oa_pdf_url	is_open_access	oa_status	primary_topic	concepts	referenced_works_count	type	source	matched_keywords
https://doi.org/10.1145/3564284	ACM TOIS	2022	607	While recent years have witnessed a rapid growth of research papers on recommender system (RS) , most of the papers focus on inventing machine learning models to better fit user behavior data. However, user behavior data is observational rather than experimental. This makes various biases widely exist in the data, including but not limited to selection bias, position bias, exposure bias, and popularity bias. Blindly fitting the data without considering the inherent biases will result in many serious issues, e.g., the discrepancy between offline evaluation and online metrics, hurting user satisfaction and trust on the recommendation service, and so on. To transform the large volume of research models into practical improvements, it is highly urgent to explore the impacts of the biases and perform debiasing when necessary.	University of Science and Technology of China; Zhejiang University; Hefei University of Technology		Bias and Debias in Recommender System: A Survey and Future Directions	Jiawei Chen; Hande Dong; Xiang Wang; Fuli Feng; Meng Wang; Xiangnan He	6	https://doi.org/10.1145/3564284	https://openalex.org/W3092103025		False	closed	Recommender Systems and Techniques	Debiasing; Computer science; Terminology; Recommender system; Popularity	256	article	openalex	popularity bias recommendation [title_and_abstract]
https://doi.org/10.1145/3477495.3531937	SIGIR	2022	581	Contrastive learning (CL) recently has spurred a fruitful line of research in the field of recommendation, since its ability to extract self-supervised signals from the raw data is well-aligned with recommender systems' needs for tackling the data sparsity issue. A typical pipeline of CL-based recommendation models is first augmenting the user-item bipartite graph with structure perturbations, and then maximizing the node representation consistency between different graph augmentations. Although this paradigm turns out to be effective, what underlies the performance gains is still a mystery. In this paper, we first experimentally disclose that, in CL-based recommendation models, CL operates by learning more uniform user/item representations that can implicitly mitigate the popularity bias. Meanwhile, we reveal that the graph augmentations, which used to be considered necessary, just play a trivial role.	The University of Queensland; Shandong University; Griffith University		Are Graph Augmentations Necessary?	Junliang Yu; Hongzhi Yin; Xin Xia; Tong Chen; Lizhen Cui; Quoc Viet Hung Nguyen	6	https://doi.org/10.1145/3477495.3531937	https://openalex.org/W4284666445	http://hdl.handle.net/10072/418652	True	green	Recommender Systems and Techniques	Computer science; Recommender system; Bipartite graph; Graph; Embedding	25	article	openalex	popularity bias recommendation [title_and_abstract]
https://doi.org/10.1609/aaai.v26i1.8100	AAAI	2021	574	Recently, location-based social networks (LBSNs), such as Gowalla, Foursquare, Facebook, and Brightkite, etc., have attracted millions of users to share their social friendship and their locations via check-ins. The available check-in information makes it possible to mine users’ preference on locations and to provide favorite recommendations. Personalized Point-of-interest (POI) recommendation is a significant task in LBSNs since it can help targeted users explore their surroundings as well as help third-party developers to provide personalized services. To solve this task, matrix factorization is a promising tool due to its success in recommender systems. However, previously proposed matrix factorization (MF) methods do not explore geographical influence, e.g., multi-center check-in property, which yields suboptimal solutions for the recommendation.	Chinese University of Hong Kong; AT&T (United States)	AT&T (United States)	Fused Matrix Factorization with Geographical and Social Influence in Location-Based Social Networks	Cheng Chen; Haiqin Yang; Irwin King; Michael R. Lyu	4	https://doi.org/10.1609/aaai.v26i1.8100	https://openalex.org/W2408538552	https://ojs.aaai.org/index.php/AAAI/article/download/8100/7958	True	diamond	Recommender Systems and Techniques	Computer science; Recommender system; Matrix decomposition; Factorization; Point of interest	39	article	openalex	multi-interest recommendation [title_and_abstract]
https://doi.org/10.1145/3477495.3532009	SIGIR	2022	454	Knowledge Graphs (KGs) have been utilized as useful side information to improve recommendation quality. In those recommender systems, knowledge graph information often contains fruitful facts and inherent semantic relatedness among items. However, the success of such methods relies on the high quality knowledge graphs, and may not learn quality representations with two challenges: i) The long-tail distribution of entities results in sparse supervision signals for KG-enhanced item representation; ii) Real-world knowledge graphs are often noisy and contain topic-irrelevant connections between items and entities. Such KG sparsity and noise make the item-entity dependent relations deviate from reflecting their true characteristics, which significantly amplifies the noise effect and hinders the accurate representation of user's preference.	University of Hong Kong; Wuhan University		Knowledge Graph Contrastive Learning for Recommendation	Yuhao Yang; Chao Huang; Lianghao Xia; Chenliang Li	4	https://doi.org/10.1145/3477495.3532009	https://openalex.org/W4225412853	https://arxiv.org/pdf/2205.00976	True	green	Recommender Systems and Techniques	Computer science; Knowledge graph; Graph; Natural language processing; Recommender system	66	article	openalex	long-tail recommendation [title_and_abstract]
https://doi.org/10.48550/arXiv.2302.08191	ICLR	2023	386	Graph neural network (GNN) is a powerful learning approach for graph-based recommender systems. Recently, GNNs integrated with contrastive learning have shown superior performance in recommendation with their data augmentation schemes, aiming at dealing with highly sparse data. Despite their success, most existing graph contrastive learning methods either perform stochastic augmentation (e.g., node/edge perturbation) on the user-item interaction graph, or rely on the heuristic-based augmentation techniques (e.g., user clustering) for generating contrastive views. We argue that these methods cannot well preserve the intrinsic semantic structures and are easily biased by the noise perturbation. In this paper, we propose a simple yet effective graph contrastive learning paradigm LightGCL that mitigates these issues impairing the generality and robustness of CL-based recommenders.			LightGCL: Simple Yet Effective Graph Contrastive Learning for Recommendation	Xuheng Cai; Chao Huang; Lianghao Xia; Xubin Ren	4	https://doi.org/10.48550/arXiv.2302.08191		http://arxiv.org/pdf/2302.08191	True		Computer Science	Computer Science	40	JournalArticle	semantic_scholar	popularity bias recommendation [s2:ICLR]
https://doi.org/10.48550/arXiv.2302.02948	ICML	2023	385	Sample efficiency and exploration remain major challenges in online reinforcement learning (RL). A powerful approach that can be applied to address these issues is the inclusion of offline data, such as prior trajectories from a human expert or a sub-optimal exploration policy. Previous methods have relied on extensive modifications and additional complexity to ensure the effective use of this data. Instead, we ask: can we simply apply existing off-policy methods to leverage offline data when learning online? In this work, we demonstrate that the answer is yes; however, a set of minimal but important changes to existing off-policy RL algorithms are required to achieve reliable performance.			Efficient Online Reinforcement Learning with Offline Data	Philip J. Ball; Laura M. Smith; Ilya Kostrikov; S. Levine	4	https://doi.org/10.48550/arXiv.2302.02948		http://arxiv.org/pdf/2302.02948	True		Computer Science	Computer Science	54	JournalArticle;Conference	semantic_scholar	diverse recommendation [s2:ICML]
https://doi.org/10.48550/arXiv.2309.14316	ICML	2023	279	Large language models (LLMs) can store a vast amount of world knowledge, often extractable via question-answering (e.g.,"What is Abraham Lincoln's birthday?"). However, do they answer such questions based on exposure to similar questions during training (i.e., cheating), or by genuinely learning to extract knowledge from sources like Wikipedia? In this paper, we investigate this issue using a controlled biography dataset. We find a strong correlation between the model's ability to extract knowledge and various diversity measures of the training data. $\textbf{Essentially}$, for knowledge to be reliably extracted, it must be sufficiently augmented (e.g., through paraphrasing, sentence shuffling, translations) $\textit{during pretraining}$.			Physics of Language Models: Part 3.1, Knowledge Storage and Extraction	Zeyuan Allen-Zhu; Yuanzhi Li	2	https://doi.org/10.48550/arXiv.2309.14316		https://arxiv.org/pdf/2309.14316	True		Computer Science	Computer Science	43	JournalArticle;Conference	semantic_scholar	recommendation diversity [s2:ICML]
https://doi.org/10.1145/3488560.3501396	WSDM	2022	275	Recently, graph neural network (GNN) has become the new state-of-the-art approach in many recommendation problems, with its strong ability to handle structured data and to explore high-order information. However, as the recommendation tasks are diverse and various in the real world, it is quite challenging to design proper GNN methods for specific problems. In this tutorial, we focus on the critical challenges of GNN-based recommendation and the potential solutions. Specifically, we start from an extensive background of recommender systems and graph neural networks. Then we fully discuss why GNNs are required in recommender systems and the four parts of challenges, including graph construction, network design, optimization, and computation efficiency.	Tsinghua University; National University of Singapore; University of Science and Technology of China		Graph Neural Networks for Recommender System	Chen Gao; Xiang Wang; Xiangnan He; Yong Li	4	https://doi.org/10.1145/3488560.3501396	https://openalex.org/W4212835176		False	closed	Recommender Systems and Techniques	Recommender system; Computer science; Graph; Data science; Artificial neural network	23	article	openalex	diverse recommendations [title_and_abstract]
https://doi.org/10.1109/tkde.2023.3288135	IEEE TKDE	2023	269	Contrastive learning (CL) has recently been demonstrated critical in improving recommendation performance. The underlying principle of CL-based recommendation models is to ensure the consistency between representations derived from different graph augmentations of the user-item bipartite graph. This self-supervised approach allows for the extraction of general features from raw data, thereby mitigating the issue of data sparsity. Despite the effectiveness of this paradigm, the factors contributing to its performance gains have yet to be fully understood. This paper provides novel insights into the impact of CL on recommendation.	Queensland University of Technology; The University of Queensland; Shandong University; Griffith University		XSimGCL: Towards Extremely Simple Graph Contrastive Learning for Recommendation	Junliang Yu; Xin Xia; Tong Chen; Lizhen Cui; Quoc Viet Hung Nguyen; Hongzhi Yin	6	https://doi.org/10.1109/tkde.2023.3288135	https://openalex.org/W4381786098		False	closed	Recommender Systems and Techniques	Computer science; Bipartite graph; Graph; Artificial intelligence; Information retrieval	75	article	openalex	long-tail recommendation [title_and_abstract]; popularity bias recommendation [title_and_abstract]
https://doi.org/10.1109/tkde.2020.3048678	IEEE TKDE	2021	212	Although demonstrating great success, previous multi-view unsupervised feature selection (MV-UFS) methods often construct a view-specific similarity graph and characterize the local structure of data within each single view. In such a way, the cross-view information could be ignored. In addition, they usually assume that different feature views are projected from a latent feature space while the diversity of different views cannot be fully captured. In this work, we resent a MV-UFS model via cross-view local structure preserved diversity and consensus learning, referred to as CvLP-DCL briefly. In order to exploit both the shared and distinguishing information across different views, we project each view into a label space, which consists of a consensus part and a view-specific part.	China University of Geosciences; National University of Defense Technology; Qilu University of Technology; Shandong Academy of Sciences; Beihang University; Southwestern University of Finance and Economics		Cross-View Locality Preserved Diversity and Consensus Learning for Multi-View Unsupervised Feature Selection	Chang Tang; Xiao Zheng; Xinwang Liu; Wei Zhang; Jing Zhang; Jian Xiong; Lizhe Wang	7	https://doi.org/10.1109/tkde.2020.3048678	https://openalex.org/W3120689699		False	closed	Face and Expression Recognition	Computer science; Locality; Artificial intelligence; Feature selection; Discriminative model	42	article	openalex	diversity [title]
